Year,Nation,Fin,Sperm,Humpback,Sei,Brydes,CommonMinke,AntarcticMinke,Gray,Bowhead,Total
2011,Norway,0,0,0,0,0,533,0,0,0,533
2011,Russia,0,0,0,0,0,0,0,130,0,130
2011,Saint Vincent & the Grenadines,0,0,2,0,0,0,0,0,0,2
2011,United States,0,0,0,0,0,0,0,0,51,51
2012,Canada,0,0,0,0,0,0,0,0,3,3
2012,Denmark/Greenland,5,0,10,0,0,152,0,0,0,167
2012,Iceland,0,0,0,0,0,52,0,0,0,52
2012,Indonesia,0,3,0,0,0,0,0,0,0,3
2012,Japan,0,3,0,100,34,184,103,0,0,424
2012,Korea,0,0,0,0,0,4,0,0,0,4
2012,Norway,0,0,0,0,0,464,0,0,0,464
2012,Russia,0,0,0,0,0,0,0,143,0,143
2012,Saint Vincent & the Grenadines,0,0,2,0,0,0,0,0,0,2
2012,United States,0,0,0,0,0,0,0,0,69,69
2013,Canada,0,0,0,0,0,0,0,0,3,3
2013,Denmark/Greenland,9,0,8,0,0,181,0,0,0,198
2013,Iceland,134,0,0,0,0,35,0,0,0,169
2013,Indonesia,0,18,0,0,0,0,0,0,0,18
2013,Japan,0,1,0,100,28,95,251,0,0,475
2013,Korea,0,0,0,0,0,12,0,0,0,12
2013,Norway,0,0,0,0,0,594,0,0,0,594
2013,Russia,0,0,0,0,0,0,0,127,1,128
2013,Saint Vincent & the Grenadines,0,0,4,0,0,0,0,0,0,4
2013,United States,0,0,0,0,0,0,0,0,57,57
2014,Canada,0,0,0,0,0,0,0,0,2,2
2014,Denmark/Greenland,12,0,7,0,0,157,0,0,0,176
2014,Iceland,137,0,0,0,0,24,0,0,0,161
2014,Indonesia,0,31,0,0,0,0,0,0,0,31
2014,Japan,0,0,0,90,25,81,0,0,0,196
2014,Korea,0,0,0,0,0,11,0,0,0,11
2014,Norway,0,0,0,0,0,736,0,0,0,736
2014,Russia,0,0,0,0,0,0,0,124,0,124
2014,Saint Vincent & the Grenadines,0,0,2,0,0,0,0,0,0,2
2014,United States,0,0,0,0,0,0,0,0,53,53
2015,Canada,0,0,0,0,0,0,0,0,2,2
2015,Denmark/Greenland,12,0,6,0,0,139,0,0,1,158
2015,Iceland,155,0,0,0,0,29,0,0,0,184
2015,Indonesia,0,7,0,0,0,0,0,0,0,7
2015,Japan,0,0,0,90,25,70,335,0,0,520
2015,Korea,1,0,0,0,0,14,0,0,0,15
2015,Norway,0,0,0,0,0,660,0,0,0,660
2015,Russia,0,0,0,0,0,0,0,125,0,125
2015,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
2015,United States,0,0,0,0,0,0,0,0,49,49
2016,Canada,0,0,0,0,0,0,0,0,2,2
2016,Denmark/Greenland,9,0,5,0,0,163,0,0,0,177
2016,Iceland,0,0,0,0,0,46,0,0,0,46
2016,Indonesia,0,12,0,0,0,0,0,0,0,12
2016,Japan,0,0,0,90,26,37,335,0,0,488
2016,Norway,0,0,0,0,0,591,0,0,0,591
2016,Russia,0,0,0,0,0,0,0,120,2,122
2016,United States,0,0,1,0,0,2,0,0,59,62
2017,Canada,0,0,0,0,0,0,0,0,1,1
2017,Denmark/Greenland,8,0,2,0,0,143,0,0,0,153
2017,Iceland,0,0,0,0,0,17,0,0,0,17
